collection_extra_deck - 2022-12-29
+-----------------------------------------------+-------+
|                      Card                     | Price |
|        Dark Lord Zerato Secret 1st         |   73  |
|           Debris Dragon Ultimate           |   71  |
|       Premature Burial Ultra 1st NM        |   65  |
|                Ruin UTR 1st                |   64  |
|         Cyber Phoenix Ultimate 1st         |   60  |
|     Monster Reincarnation Ultimate 1st     |   60  |
|            Heavy Storm MRD 1st             |   59  |
|            Battle Fader UTR 1st            |   57  |
|   Diamond Dude Ultimate 1st - 2 EN 1 DE    |   57  |
|            Divine Wrath UTR 1st            |   57  |
|           Doomcalibur Knight TU            |   56  |
|         Necro Gardna Ultimate 1st          |   51  |
|            Dekoichi UTR 1st LP             |   44  |
|       Giant Trunade - MRL Super 1st        |   44  |
|                Beckoning TU                |   38  |
|            D Hero Malicious 1st            |   37  |
|                 Garoth TU                  |   35  |
|          Nobleman of Crossout 1st          |   35  |
|          Tribe infecting MFC 1st           |   31  |
|           Mind Control WC Super            |   30  |
|        Harpie's Feather Duster SDD         |   29  |
|          Rescue Rabbit Secret 1st          |   29  |
|           Thunder Dragon MRD 1st           |   28  |
|           Royal Decree DB2 Super           |   26  |
|               Ryko LODT 1st                |   26  |
|       Solemn Judgment MRD Unlimited        |   26  |
|          Card Destruction SDY 1st          |   25  |
|         Destiny Hero Plasma Secret         |   23  |
| Return from Different Dimension DPKB Super |   23  |
|            Confiscation MRL 1st            |   18  |
|              Destiny Draw 1st              |   18  |
|                 Gorz RP02                  |   13  |
|         ROTA Reinforcement LOD 1st         |   13  |
|          Dark Mimic Lv3 Ultimate           |   12  |
|       Royal Oppression Rare LOD 1st        |   12  |
|          Graceful Charity SDP 1st          |   9   |
|               Wulf LODT 1st                |   9   |
|                 Gorz DLG1                  |   5   |
|              Aurkus LODT 1st               |   4   |
|           Crush Card Virus GLD1            |   0   |
|               Dark Mimic Lv1               |   0   |
|            Gold Sarc GLD2 2009             |   0   |
|              Honest Ghost 1st              |   0   |
|          Scapegoat Ultra RP01 ita          |   0   |
|                    test                    |   0   |
+--------------------------------------------+-------+
collection_extra_deck - 2023-01-01
+-----------------------------------------------+-------+
|                      Card                     | Price |
+-----------------------------------------------+-------+
|           Stardust Dragon Ghost 1st           |  1926 |
|       Cyber Dark Dragon Ultimate 1st GER      |  1009 |
|         Ancient Fairy Dragon Ghost 1st        |  749  |
|           Stardust Dragon Ghost Unl           |  483  |
